小城 /ns 54	  这个/rz, 小城/ns, 的/ude1
苏格兰 /ns 10	  喝点/nz, 苏格兰/nsf, 威士忌/n
不存在 /ns 7	 , 本城/r, 不存在/ns, 宗教/n, 
日本 /ns 5	 c, 在/p, 日本/ns, 还有/v, 
中庭 /ns 5	  直抵/nz, 中庭/ns, ，/w], 
法国 /ns 3	 , 受到/v, 法国/nsf, 新/a, 
欧洲 /ns 2	 的/ude1, 欧洲/ns, 。/w], 
夏天 /ns 1	  。/w], [夏天/ns, 酷热/an,
田唇 /ns 1	 p, 火/n, 田唇/ns, 边/k, 的
里加 /ns 1	 , 杯/ng, 里加/ns, 了/ule,
德国 /ns 1	  [源于/v, 德国/nsf, 一个/mq
新城 /ns 1	  一个/mq, 新城/ns, 吗/y, ？
金边 /ns 1	 m, 副/b, 金边/nsf, 圆/v, 
西南 /ns 1	 塞恩/nsf, 西南/ns, 15/m, 
上站 /ns 1	 , 座位/n, 上站/ns, 起身/vi,
朝外 /ns 1	 , 面/nf, 朝外/ns, 侧/ng, 
大理 /ns 1	 , 放在/v, 大理/ns, 石/ng, 
将门 /ns 1	  [她/rr, 将门/ns, 完全/ad,
山坡上 /ns 1	 , 建于/v, 山坡上/ns, 的/ude1
瑞士 /ns 1	  ，/w], [瑞士/nsf, 诸多/m,
卢塞恩 /ns 1	  [位于/v, 卢塞恩/nsf, 西南/ns
印度 /ns 1	 , [“/w, 印度/nsf, 就/d, 
街道 /ns 1	 , 位于/v, 街道/ns, 的/ude1
英国 /ns 1	  ，/w], [英国/ns, 女侦探/nz
广岛 /ns 1	  相当于/v, 广岛/ns, 原子弹/n,
